subject;wr;wo;ro;wp;rp;op;wg;rg;og;pg
exp1; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA
exp2;1;1;1;1;2;2;1;1;1;1
exp3;1;1;1;1;1;2;1;2;1;2
exp4;2;2;1;1;1;2;1;1;1;2
exp5;1;1;1;1;2;1;1;2;2;1
exp6;1;1;2;1;1;1;1;2;1;1
exp7;1;1;1;1;2;1;1;2;1;2
exp8;1;1;1;1;2;1;1;1;1;2
exp9;1;1;2;1;1;1;1;2;1;2
exp10;1;1;1;2;1;2;1;1;1;2
exp11;1;1;2;1;2;2;1;2;2;2
exp12;1;1;2;1;2;1;1;1;1;1
exp13;1;1;1;1;1;1;1;2;1;2
exp14;1;1;1;1;1;1;1;2;1;2
exp15;2;2;2;1;2;1;1;2;2;1
exp16;1;1;2;1;1;2;1;2;2;2
exp17;2;1;2;1;2;1;2;1;1;1
exp18;1;1;1;2;2;1;1;2;1;2
exp19;1;1;1;1;2;1;1;1;2;2
exp20;1;1;1;1;2;1;1;1;1;1
exp21;2;1;2;1;2;1;2;2;2;2
exp22;1;1;2;1;1;1;1;1;2;1
exp23; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA
exp24;2;2;2;2;2;2;2;2;2;2
